Emotion,Text
anger,When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.
disgust,The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.
fear,When I was involved in a traffic accident.
guilt,When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.
joy,During the period of falling in love, each time that we met and especially when we had not met for a long time.
sadness,When I lost the person who meant the most to me.
shame,When I did not speak the truth.
anger,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.
disgust,When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.
fear,When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.
